session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
vndoii7a,1,cxdpz02w,0,,InitializeParticipant,1638204109,1,0,0
tm9x7rw5,1,4e5040o5,0,,InitializeParticipant,1638303393,1,0,0
0asoxdxj,1,n9m6od2y,0,,InitializeParticipant,1638350252,1,0,0
0asoxdxj,1,n9m6od2y,1,introduction,ID,1638350256,1,0,0
0asoxdxj,1,n9m6od2y,2,introduction,Introduction,1638350258,1,0,0
0asoxdxj,3,fpbo2bu3,0,,InitializeParticipant,1638350313,1,0,0
0asoxdxj,3,fpbo2bu3,1,introduction,ID,1638350316,1,0,0
0asoxdxj,3,fpbo2bu3,2,introduction,Introduction,1638350367,1,0,0
0asoxdxj,3,fpbo2bu3,8,dictator_robot,Instructions,1638350391,1,0,0
0asoxdxj,3,fpbo2bu3,9,dictator_robot,Decision,1638350410,1,0,0
0asoxdxj,3,fpbo2bu3,10,dictator_robot,Results,1638350413,1,0,0
0asoxdxj,3,fpbo2bu3,39,final_results,FinalResults,1638350419,1,0,0
0asoxdxj,3,fpbo2bu3,40,survey,Survey,1638350444,1,0,0
0asoxdxj,4,logoupg9,0,,InitializeParticipant,1638350452,1,0,0
0asoxdxj,4,logoupg9,1,introduction,ID,1638350455,1,0,0
0asoxdxj,4,logoupg9,2,introduction,Introduction,1638350466,1,0,0
0asoxdxj,4,logoupg9,8,dictator_robot,Instructions,1638350557,1,0,0
0asoxdxj,4,logoupg9,9,dictator_robot,Decision,1638350568,1,0,0
0asoxdxj,4,logoupg9,10,dictator_robot,Results,1638350569,1,0,0
0asoxdxj,4,logoupg9,39,final_results,FinalResults,1638350572,1,0,0
0asoxdxj,4,logoupg9,40,survey,Survey,1638350633,1,0,0
0asoxdxj,5,8a40tixt,0,,InitializeParticipant,1638350636,1,0,0
0asoxdxj,5,8a40tixt,1,introduction,ID,1638350640,1,0,0
0asoxdxj,5,8a40tixt,2,introduction,Introduction,1638350642,1,0,0
0asoxdxj,5,8a40tixt,8,dictator_robot,Instructions,1638350655,1,0,0
0asoxdxj,5,8a40tixt,9,dictator_robot,Decision,1638350664,1,0,0
0asoxdxj,5,8a40tixt,10,dictator_robot,Results,1638350666,1,0,0
0asoxdxj,5,8a40tixt,39,final_results,FinalResults,1638350670,1,0,0
0asoxdxj,5,8a40tixt,40,survey,Survey,1638350687,1,0,0
0asoxdxj,6,7yba6d2m,0,,InitializeParticipant,1638350690,1,0,0
0asoxdxj,6,7yba6d2m,1,introduction,ID,1638350694,1,0,0
0asoxdxj,6,7yba6d2m,2,introduction,Introduction,1638350700,1,0,0
0asoxdxj,6,7yba6d2m,8,dictator_robot,Instructions,1638350726,1,0,0
0asoxdxj,6,7yba6d2m,9,dictator_robot,Decision,1638350802,1,0,0
0asoxdxj,6,7yba6d2m,10,dictator_robot,Results,1638350804,1,0,0
0asoxdxj,6,7yba6d2m,39,final_results,FinalResults,1638350814,1,0,0
0asoxdxj,6,7yba6d2m,40,survey,Survey,1638350833,1,0,0
0asoxdxj,8,kmbjfnrf,0,,InitializeParticipant,1638350837,1,0,0
0asoxdxj,8,kmbjfnrf,1,introduction,ID,1638350842,1,0,0
0asoxdxj,8,kmbjfnrf,2,introduction,Introduction,1638350844,1,0,0
0asoxdxj,7,hzfnc8vm,0,,InitializeParticipant,1638350849,1,0,0
0asoxdxj,7,hzfnc8vm,1,introduction,ID,1638350853,1,0,0
0asoxdxj,7,hzfnc8vm,2,introduction,Introduction,1638350858,1,0,0
0asoxdxj,7,hzfnc8vm,11,trust_human_strategy,GroupWaitPage,1638350858,1,0,1
0asoxdxj,8,kmbjfnrf,11,trust_human_strategy,GroupWaitPage,1638350858,1,0,1
0asoxdxj,7,hzfnc8vm,12,trust_human_strategy,Instructions,1638351058,1,0,0
0asoxdxj,7,hzfnc8vm,13,trust_human_strategy,Send,1638351067,1,0,0
0asoxdxj,7,hzfnc8vm,14,trust_human_strategy,Belief,1638351128,1,0,0
0asoxdxj,8,kmbjfnrf,12,trust_human_strategy,Instructions,1638351151,1,0,0
0asoxdxj,8,kmbjfnrf,15,trust_human_strategy,SendBack,1638351176,1,0,0
0asoxdxj,7,hzfnc8vm,16,trust_human_strategy,ResultsWaitPage,1638351176,1,0,1
0asoxdxj,8,kmbjfnrf,16,trust_human_strategy,ResultsWaitPage,1638351176,1,0,1
0asoxdxj,8,kmbjfnrf,17,trust_human_strategy,Results,1638351178,1,0,0
0asoxdxj,8,kmbjfnrf,39,final_results,FinalResults,1638351184,1,0,0
0asoxdxj,9,78d79n7s,0,,InitializeParticipant,1638351188,1,0,0
0asoxdxj,9,78d79n7s,1,introduction,ID,1638351195,1,0,0
0asoxdxj,9,78d79n7s,2,introduction,Introduction,1638351199,1,0,0
0asoxdxj,9,78d79n7s,18,trust_robot_firstmover_strategy,Instructions,1638351245,1,0,0
0asoxdxj,9,78d79n7s,19,trust_robot_firstmover_strategy,SendBack,1638351267,1,0,0
0asoxdxj,9,78d79n7s,20,trust_robot_firstmover_strategy,Results,1638351269,1,0,0
0asoxdxj,9,78d79n7s,39,final_results,FinalResults,1638351271,1,0,0
0asoxdxj,10,qhga8zd3,0,,InitializeParticipant,1638351282,1,0,0
0asoxdxj,10,qhga8zd3,1,introduction,ID,1638351285,1,0,0
0asoxdxj,10,qhga8zd3,2,introduction,Introduction,1638351300,1,0,0
