participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.what_happens_with_payoffs,player.age,player.gender,player.degree,player.field_of_study,player.employment,player.familiarity,player.confidence,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,cxdpz02w,,0,23,24,survey,Survey,2021-11-29 16:41:49.122790,1,,,5.0,1,,0.0,,,,,,,,,1,1,vndoii7a,,,,,1
2,g34cawkb,,0,22,24,final_results,FinalResults,2021-11-29 16:41:49.787881,1,,,5.0,2,,0.0,,,,,,,,,1,1,vndoii7a,,,,,1
3,7pi85ql2,,0,0,24,,,,0,,,0.0,3,,0.0,,,,,,,,,1,1,vndoii7a,,,,,1
4,0as8527d,,0,0,24,,,,0,,,0.0,4,,0.0,,,,,,,,,1,1,vndoii7a,,,,,1
5,mlwltlo3,,0,21,24,ultimatum_human_strategy,Results,2021-11-29 16:42:20.463990,1,,,7.0,5,,0.0,,,,,,,,,1,1,vndoii7a,,,,,1
6,5me8jqsp,,0,23,24,survey,Survey,2021-11-29 16:42:21.175859,1,,,7.0,6,,0.0,,,,,,,,,1,1,vndoii7a,,,,,1
1,5zshyv48,,0,0,22,,,,0,,,0.0,1,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
2,1o4e4eqc,,0,0,22,,,,0,,,0.0,2,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
3,ople39m3,,0,0,22,,,,0,,,0.0,3,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
4,lgx9sfn2,,0,0,22,,,,0,,,0.0,4,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
5,8wx85xtw,,0,0,22,,,,0,,,0.0,5,,0.0,,,,,,,,,1,1,8o9gdlp3,,,,,1
