participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.sent_amount,player.send_back_belief,player.sent_back_amount,player.rmse,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,5zshyv48,,0,0,22,,,,0,,,0.0,1,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
2,1o4e4eqc,,0,0,22,,,,0,,,0.0,2,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
3,ople39m3,,0,0,22,,,,0,,,0.0,3,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
4,lgx9sfn2,,0,0,22,,,,0,,,0.0,4,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
5,8wx85xtw,,0,0,22,,,,0,,,0.0,5,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
6,b99p4tix,,0,7,22,trust_robot_firstmover_strategy,SendBack,2021-11-29 16:42:56.625311,1,,,0.0,6,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
7,ziu083g7,,0,0,22,,,,0,,,0.0,7,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
8,fph8z4aj,,0,0,22,,,,0,,,0.0,8,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
9,hl42u1aw,,0,0,22,,,,0,,,0.0,9,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
10,jcgjq424,,0,0,22,,,,0,,,0.0,10,,0.0,machine earns,,,,,1,1,8o9gdlp3,,,,,1
11,1xi5zlp7,,0,0,22,,,,0,,,0.0,11,,0.0,burned,,,,,1,1,8o9gdlp3,,,,,1
12,gs0vvk39,,0,0,22,,,,0,,,0.0,12,,0.0,no info,,,,,1,1,8o9gdlp3,,,,,1
13,xgbnwu8o,,0,0,22,,,,0,,,0.0,13,,0.0,token,,,,,1,1,8o9gdlp3,,,,,1
14,kym052p3,,0,0,22,,,,0,,,0.0,14,,0.0,programmer,,,,,1,1,8o9gdlp3,,,,,1
15,6y8r0f92,,0,0,22,,,,0,,,0.0,15,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
16,xf2tpgfl,,0,15,22,ultimatum_robot_proposer_strategy,Results,2021-11-29 16:42:58.047399,1,,,6.0,16,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
17,zwg0y0y3,,0,0,22,,,,0,,,0.0,17,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
18,1y1rfpg3,,0,0,22,,,,0,,,0.0,18,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
19,jx2mcc1g,,0,0,22,,,,0,,,0.0,19,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
20,2ouhu9pq,,0,0,22,,,,0,,,0.0,20,,0.0,,,,,,1,1,8o9gdlp3,,,,,1
1,n9m6od2y,,0,40,41,survey,Survey,2021-12-01 09:17:32.507824,1,,,8.0,1,,0.0,,,,,,1,1,0asoxdxj,,,,,1
2,v8hhmdyi,,0,40,41,survey,Survey,2021-12-01 09:47:11.354339,1,,,2.0,2,,0.0,,,,,,1,1,0asoxdxj,,,,,1
3,fpbo2bu3,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:18:33.914695,1,,,9.0,3,,0.0,,,,,,1,1,0asoxdxj,,,,,1
4,logoupg9,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:20:52.663266,1,,,10.0,4,,0.0,,,,,,1,1,0asoxdxj,,,,,1
5,8a40tixt,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:23:56.880178,1,,,7.0,5,,0.0,,,,,,1,1,0asoxdxj,,,,,1
6,7yba6d2m,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:24:50.243750,1,,,2.0,6,,0.0,,,,,,1,1,0asoxdxj,,,,,1
7,hzfnc8vm,,0,17,41,trust_human_strategy,Results,2021-12-01 09:27:29.998021,1,,,0.0,7,,0.0,,,,,,1,1,0asoxdxj,,,,,1
8,kmbjfnrf,,0,40,41,survey,Survey,2021-12-01 09:27:17.359110,1,,,20.0,8,,0.0,,,,,,1,1,0asoxdxj,,,,,1
9,78d79n7s,,0,40,41,survey,Survey,2021-12-01 09:33:08.875394,1,,,13.0,9,,0.0,,,,,,1,1,0asoxdxj,,,,,1
10,qhga8zd3,,0,40,41,survey,Survey,2021-12-01 09:34:42.108726,1,,,16.0,10,,0.0,,,,,,1,1,0asoxdxj,,,,,1
11,ajz8et33,,0,40,41,survey,Survey,2021-12-01 09:35:46.058794,1,,,13.0,11,,0.0,,,,,,1,1,0asoxdxj,,,,,1
12,u14s1mw8,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:38:39.634520,1,,,13.0,12,,0.0,,,,,,1,1,0asoxdxj,,,,,1
13,zlwstspy,,0,0,41,,,,0,,,0.0,13,,0.0,,,,,,1,1,0asoxdxj,,,,,1
14,5d9a6dxc,,0,24,41,trust_robot_secondmover,Results,2021-12-01 09:41:04.527973,1,,,19.0,14,,19.0,machine earns,1.0,2.0,15.0,5.960518247415889,1,1,0asoxdxj,,,,,1
15,q14qzmy5,,0,40,41,survey,Survey,2021-12-01 09:42:34.806012,1,,,18.0,15,,18.0,burned,1.0,1.0,14.0,6.114645442614713,1,1,0asoxdxj,,,,,1
16,vfq2gfgw,,0,41,41,final_screen,EndOfExperiment,2021-12-01 09:43:22.194708,1,,,15.0,16,,15.0,no info,1.0,1.0,11.0,7.688375063113864,1,1,0asoxdxj,,,,,1
17,bnne1in8,,0,40,41,survey,Survey,2021-12-01 09:44:04.238872,1,,,13.0,17,,13.0,token,1.0,1.0,9.0,6.207074816512024,1,1,0asoxdxj,,,,,1
18,trap3sxs,,0,40,41,survey,Survey,2021-12-01 09:46:03.046215,1,,,11.0,18,,11.0,programmer,1.0,1.0,7.0,7.293452162347021,1,1,0asoxdxj,,,,,1
19,r4sdxj5x,,0,31,41,ultimatum_human_strategy,Results,2021-12-01 09:46:33.708450,1,,,2.0,19,,0.0,,,,,,1,1,0asoxdxj,,,,,1
20,hjq1yfn3,,0,31,41,ultimatum_human_strategy,Results,2021-12-01 09:46:44.744868,1,,,10.0,20,,0.0,,,,,,1,1,0asoxdxj,,,,,1
1,yx3cyysj,,0,40,41,survey,Survey,2021-12-06 09:53:20.992977,1,,,4.0,1,,0.0,,,,,,1,1,66mhoetj,,,,,1
2,c8s98e6f,,0,40,41,survey,Survey,2021-12-06 09:53:23.806039,1,,,6.0,2,,0.0,,,,,,1,1,66mhoetj,,,,,1
3,0u50yu2x,,0,40,41,survey,Survey,2021-12-06 09:53:25.632304,1,,,3.0,3,,0.0,,,,,,1,1,66mhoetj,,,,,1
4,8iz13usi,,0,40,41,survey,Survey,2021-12-06 09:53:27.177482,1,,,7.0,4,,0.0,,,,,,1,1,66mhoetj,,,,,1
5,c867xhjf,,0,40,41,survey,Survey,2021-12-06 09:54:28.576072,1,,,7.0,5,,0.0,,,,,,1,1,66mhoetj,,,,,1
