participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.prolific_ID,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,u55bqbgq,5ed559e5afbd830e2117ed55,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:04:56.213573,1,,,10.0,1,,0.0,5ed559e5afbd830e2117ed55,1,1,qd0ydl2t,,,,,0
2,2mxr8wk1,5607080ed7def20012b733c3,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:00.273677,1,,,5.0,2,,0.0,5607080ed7def20012b733c3,1,1,qd0ydl2t,,,,,0
3,88kiqr9x,56e130548b1c33000a388671,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:03.622286,1,,,9.0,3,,0.0,56e130548b1c33000a388671,1,1,qd0ydl2t,,,,,0
4,4xdn9uid,614e0825d40616c90ebc1d49,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:04.749777,1,,,14.0,4,,0.0,614e0825d40616c90ebc1d49,1,1,qd0ydl2t,,,,,0
5,obx7d1nb,5ac4c721e1099600016a823b,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:05.829690,1,,,7.0,5,,0.0,5ac4c721e1099600016a823b,1,1,qd0ydl2t,,,,,0
6,b6ert0e3,5dc592c6aa431440aa755d5b,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:07.596210,1,,,5.0,6,,0.0,5dc592c6aa431440aa755d5b,1,1,qd0ydl2t,,,,,0
7,u8ixqpqg,5bd0d9bf25db7b0001786a5b,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:07.846099,1,,,0.0,7,,0.0,5bd0d9bf25db7b0001786a5b,1,1,qd0ydl2t,,,,,0
8,q42c5yh6,5f77b0c71436cf1d275d79d0,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:08.211954,1,,,5.0,8,,0.0,5f77b0c71436cf1d275d79d0,1,1,qd0ydl2t,,,,,0
9,9ryxnrou,60712d937752fb8780e89951,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:09.077226,1,,,11.0,9,,0.0,60712d937752fb8780e89951,1,1,qd0ydl2t,,,,,0
10,ftalyn53,6111234ac8cfa49e38acbfb4,0,24,24,final_screen,EndOfExperiment,2021-12-13 18:05:09.987261,1,,,10.0,10,,0.0,6111234ac8cfa49e38acbfb4,1,1,qd0ydl2t,,,,,0
