participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,eseupx9v,5ba292385301b80001c71ba2,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:26.031360,1,,,10.0,1,,0.0,2,1,al9gerxp,,,,,0
2,7nnt8cnw,610325a6052741bbfb84bcd1,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:26.321303,1,,,10.0,2,,0.0,2,1,al9gerxp,,,,,0
3,6jbjtley,615f54a5141128cf81b7e857,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:26.810111,1,,,5.0,1,,0.0,24,1,al9gerxp,,,,,0
4,larnh907,5fb3d71c3144730009fe4a7b,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:31.084867,1,,,7.0,1,,0.0,5,1,al9gerxp,,,,,0
5,esp622n7,567dd32b4f0ef30006dbb718,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:33.476431,1,,,15.0,1,,0.0,10,1,al9gerxp,,,,,0
6,evy424nl,5c2fcd716ea6880001dc8e3d,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:33.974607,1,,,0.0,1,,0.0,17,1,al9gerxp,,,,,0
7,ly1etsgq,6016f95c56f32e8df6e841af,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:34.366010,1,,,9.0,1,,0.0,23,1,al9gerxp,,,,,0
8,3yje8zd1,61087e4fc006ee7d6be38641,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:34.572804,1,,,10.0,1,,0.0,3,1,al9gerxp,,,,,0
9,p0t5epzi,5e9f70a9eec34b1108c84413,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:35.305548,1,,,11.0,1,,0.0,11,1,al9gerxp,,,,,0
10,2538q0fm,613443bb8a6a4d961ffcd917,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:35.666770,1,,,15.0,1,,0.0,8,1,al9gerxp,,,,,0
11,s4z776we,5f0fab5abdec9a1aff2b2744,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:36.553408,1,,,10.0,2,,0.0,5,1,al9gerxp,,,,,0
12,kegfujam,5dd55652f30aa650f027e1c2,0,8,24,trust_robot_firstmover_strategy,Instructions,2021-12-14 18:25:36.794305,1,,,0.0,1,,0.0,6,1,al9gerxp,,,,,0
13,vmf5iv1u,5dcea7314d51e4107516c80d,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:37.341988,1,,,10.0,1,,0.0,4,1,al9gerxp,,,,,0
14,0dcb0nhg,6060bdd2935a3eb3bdcdb835,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:37.652566,1,,,12.0,1,,0.0,13,1,al9gerxp,,,,,0
15,ikx1ez2i,59f226a9d6380600018b2923,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:37.894731,1,,,12.0,1,,0.0,12,1,al9gerxp,,,,,0
16,ig6cjryp,60fdfd265d53f620ef2c3929,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:37.952762,1,,,14.0,1,,0.0,7,1,al9gerxp,,,,,0
17,ezwdxl7r,600673836848dc9fb0e79785,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:38.095924,1,,,10.0,2,,0.0,3,1,al9gerxp,,,,,0
18,gznighs1,6042d4d08ec254253f0865b8,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:38.599981,1,,,8.0,2,,0.0,7,1,al9gerxp,,,,,0
19,83wzcwaw,614fb4cad115bf288f786dee,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:39.756950,1,,,13.0,2,,0.0,11,1,al9gerxp,,,,,0
20,ychot3ny,6095e4f37b49956d05961a4b,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:40.514033,1,,,10.0,2,,0.0,4,1,al9gerxp,,,,,0
21,qfpydu4r,61035836646fb6ee2152f950,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:41.270087,1,,,8.0,1,,0.0,9,1,al9gerxp,,,,,0
22,phbhqfsb,5658000ca9872d0011e1ba26,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:42.311592,1,,,14.0,2,,0.0,10,1,al9gerxp,,,,,0
23,ejn1ysc6,615f2b3f0eafbabe579b889a,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:42.445643,1,,,11.0,1,,0.0,15,1,al9gerxp,,,,,0
24,trcs7j7e,5e3309ad239ceb2d47d47c4a,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:42.437764,1,,,20.0,2,,0.0,8,1,al9gerxp,,,,,0
25,wqqasgph,6019944a6de5a00dff9c8a32,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:42.697219,1,,,9.0,2,,0.0,9,1,al9gerxp,,,,,0
26,mlu7h7wj,5eaff2eac963900392c6dc48,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:44.903838,1,,,17.0,2,,0.0,6,1,al9gerxp,,,,,0
27,28g4b13b,59ff47d47ecfc50001be0555,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:45.062000,1,,,5.0,2,,0.0,12,1,al9gerxp,,,,,0
28,nehppf8l,610978200236b59da80571e7,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:47.747532,1,,,11.0,1,,0.0,14,1,al9gerxp,,,,,0
29,eil4qa24,5bdf513338109a0001f474c8,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:50.667798,1,,,13.0,2,,0.0,13,1,al9gerxp,,,,,0
30,22da6iab,60ff2fc7ff799a89b38e6adc,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:50.772654,1,,,12.0,2,,0.0,14,1,al9gerxp,,,,,0
31,i1otl5c2,614fe903e5acda6e19a9bc39,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:51.595857,1,,,9.0,2,,0.0,15,1,al9gerxp,,,,,0
32,a4xr4zmg,60e5eceb989f38c746723024,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:55.479832,1,,,0.0,1,,0.0,18,1,al9gerxp,,,,,0
33,11m5i1k5,5c40bb8880392f00015e8910,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:56.550667,1,,,0.0,2,,0.0,17,1,al9gerxp,,,,,0
34,devkh3ii,60fd01cc86bb3e402db85e93,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:25:58.584507,1,,,7.0,1,,0.0,48,1,al9gerxp,,,,,0
35,lnbelsab,5c2789fc1694480001e4c4e3,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:26:00.933914,1,,,5.0,1,,0.0,16,1,al9gerxp,,,,,0
36,8vnsi815,61520150b24df0af47d5c7f3,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:26:11.385063,1,,,5.0,1,,0.0,19,1,al9gerxp,,,,,0
37,0xnwye6m,5c55fec09fcbc40001dc50b5,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:26:11.906319,1,,,4.0,2,,0.0,16,1,al9gerxp,,,,,0
38,fhrvmznt,6170406b453e66204b8beed3,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:26:24.208741,1,,,3.0,2,,0.0,18,1,al9gerxp,,,,,0
39,e710zhrj,5c748b9188fdc20017c60436,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:26:27.360042,1,,,5.0,1,,0.0,20,1,al9gerxp,,,,,0
40,frqafgqg,60d79f82b917a3cfd6643432,0,24,24,final_screen,EndOfExperiment,2021-12-14 18:26:32.278407,1,,,3.0,2,,0.0,19,1,al9gerxp,,,,,0
