"sid","game","treatment","self_x","self_y","other_x","other_y","choice_x","order","s_y","s_x","r_y","r_x","q","v"
"0xnp3vk1","dictator","human",670,530,420,780,0,1,1,0,0,1,0,0
"0xnp3vk1","dictator","human",1010,730,190,470,1,2,0,0,1,1,0,0
"0xnp3vk1","dictator","human",660,540,780,420,1,3,0,1,1,0,0,0
"0xnp3vk1","dictator","human",350,310,680,1060,0,4,1,1,0,0,0,0
"0xnp3vk1","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"0xnp3vk1","dictator","human",980,760,170,490,0,6,0,0,1,1,0,0
"0xnp3vk1","dictator","human",940,800,150,510,0,7,0,0,1,1,0,0
"0xnp3vk1","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"0xnp3vk1","dictator","human",640,560,410,790,0,9,1,0,0,1,0,0
"0xnp3vk1","dictator","human",330,330,680,1060,0,10,1,1,0,0,0,0
"0xnp3vk1","dictator","human",1050,690,270,390,1,11,0,0,1,1,0,0
"0xnp3vk1","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"0xnp3vk1","dictator","human",370,290,680,1060,0,13,1,1,0,0,0,0
"0xnp3vk1","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"0xnp3vk1","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"0xnp3vk1","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"0xnp3vk1","dictator","human",400,260,690,1050,0,17,1,1,0,0,0,0
"0xnp3vk1","dictator","human",600,600,410,790,0,18,1,0,0,1,0,0
"0xnp3vk1","dictator","human",890,850,140,520,0,19,0,0,1,1,0,0
"0xnp3vk1","dictator","human",470,190,730,1010,1,20,1,1,0,0,0,0
"0xnp3vk1","dictator","human",780,420,540,660,1,21,1,0,0,1,0,0
"0xnp3vk1","dictator","human",390,270,1050,690,1,22,1,1,0,0,0,0
"0xnp3vk1","dictator","human",720,480,750,450,1,23,0,1,1,0,0,0
"0xnp3vk1","dictator","human",1060,680,330,330,1,24,0,0,1,1,0,0
"0xnp3vk1","dictator","human",450,210,1020,720,1,25,1,1,0,0,0,0
"0xnp3vk1","dictator","human",870,870,140,520,0,26,0,0,1,1,0,0
"0xnp3vk1","dictator","human",990,750,480,180,1,27,0,0,1,1,0,0
"0xnp3vk1","dictator","human",620,580,410,790,0,28,1,0,0,1,0,0
"0xnp3vk1","dictator","human",910,830,140,520,0,29,0,0,1,1,0,0
"0xnp3vk1","dictator","human",510,150,810,930,1,30,1,1,0,0,0,0
"1bx259ao","dictator","human",670,530,420,780,1,1,1,0,0,1,0,0
"1bx259ao","dictator","human",1010,730,190,470,1,2,0,0,1,1,0,0
"1bx259ao","dictator","human",660,540,780,420,1,3,0,1,1,0,0,0
"1bx259ao","dictator","human",350,310,680,1060,1,4,1,1,0,0,0,0
"1bx259ao","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"1bx259ao","dictator","human",980,760,170,490,1,6,0,0,1,1,0,0
"1bx259ao","dictator","human",940,800,150,510,1,7,0,0,1,1,0,0
"1bx259ao","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"1bx259ao","dictator","human",640,560,410,790,1,9,1,0,0,1,0,0
"1bx259ao","dictator","human",330,330,680,1060,0,10,1,1,0,0,0,0
"1bx259ao","dictator","human",1050,690,270,390,1,11,0,0,1,1,0,0
"1bx259ao","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"1bx259ao","dictator","human",370,290,680,1060,1,13,1,1,0,0,0,0
"1bx259ao","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"1bx259ao","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"1bx259ao","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"1bx259ao","dictator","human",400,260,690,1050,1,17,1,1,0,0,0,0
"1bx259ao","dictator","human",600,600,410,790,0,18,1,0,0,1,0,0
"1bx259ao","dictator","human",890,850,140,520,1,19,0,0,1,1,0,0
"1bx259ao","dictator","human",470,190,730,1010,1,20,1,1,0,0,0,0
"1bx259ao","dictator","human",780,420,540,660,1,21,1,0,0,1,0,0
"1bx259ao","dictator","human",390,270,1050,690,1,22,1,1,0,0,0,0
"1bx259ao","dictator","human",720,480,750,450,1,23,0,1,1,0,0,0
"1bx259ao","dictator","human",1060,680,330,330,1,24,0,0,1,1,0,0
"1bx259ao","dictator","human",450,210,1020,720,1,25,1,1,0,0,0,0
"1bx259ao","dictator","human",870,870,140,520,0,26,0,0,1,1,0,0
"1bx259ao","dictator","human",990,750,480,180,1,27,0,0,1,1,0,0
"1bx259ao","dictator","human",620,580,410,790,1,28,1,0,0,1,0,0
"1bx259ao","dictator","human",910,830,140,520,1,29,0,0,1,1,0,0
"1bx259ao","dictator","human",510,150,810,930,1,30,1,1,0,0,0,0
"3n0aiz4e","dictator","human",670,530,420,780,1,1,1,0,0,1,0,0
"3n0aiz4e","dictator","human",1010,730,190,470,0,2,0,0,1,1,0,0
"3n0aiz4e","dictator","human",660,540,780,420,1,3,0,1,1,0,0,0
"3n0aiz4e","dictator","human",350,310,680,1060,0,4,1,1,0,0,0,0
"3n0aiz4e","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"3n0aiz4e","dictator","human",980,760,170,490,0,6,0,0,1,1,0,0
"3n0aiz4e","dictator","human",940,800,150,510,0,7,0,0,1,1,0,0
"3n0aiz4e","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"3n0aiz4e","dictator","human",640,560,410,790,1,9,1,0,0,1,0,0
"3n0aiz4e","dictator","human",330,330,680,1060,0,10,1,1,0,0,0,0
"3n0aiz4e","dictator","human",1050,690,270,390,0,11,0,0,1,1,0,0
"3n0aiz4e","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"3n0aiz4e","dictator","human",370,290,680,1060,0,13,1,1,0,0,0,0
"3n0aiz4e","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"3n0aiz4e","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"3n0aiz4e","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"3n0aiz4e","dictator","human",400,260,690,1050,1,17,1,1,0,0,0,0
"3n0aiz4e","dictator","human",600,600,410,790,0,18,1,0,0,1,0,0
"3n0aiz4e","dictator","human",890,850,140,520,0,19,0,0,1,1,0,0
"3n0aiz4e","dictator","human",470,190,730,1010,1,20,1,1,0,0,0,0
"3n0aiz4e","dictator","human",780,420,540,660,1,21,1,0,0,1,0,0
"3n0aiz4e","dictator","human",390,270,1050,690,0,22,1,1,0,0,0,0
"3n0aiz4e","dictator","human",720,480,750,450,1,23,0,1,1,0,0,0
"3n0aiz4e","dictator","human",1060,680,330,330,1,24,0,0,1,1,0,0
"3n0aiz4e","dictator","human",450,210,1020,720,1,25,1,1,0,0,0,0
"3n0aiz4e","dictator","human",870,870,140,520,0,26,0,0,1,1,0,0
"3n0aiz4e","dictator","human",990,750,480,180,1,27,0,0,1,1,0,0
"3n0aiz4e","dictator","human",620,580,410,790,1,28,1,0,0,1,0,0
"3n0aiz4e","dictator","human",910,830,140,520,0,29,0,0,1,1,0,0
"3n0aiz4e","dictator","human",510,150,810,930,1,30,1,1,0,0,0,0
"3pxu89gq","dictator","human",670,530,420,780,1,1,1,0,0,1,0,0
"3pxu89gq","dictator","human",1010,730,190,470,1,2,0,0,1,1,0,0
"3pxu89gq","dictator","human",660,540,780,420,1,3,0,1,1,0,0,0
"3pxu89gq","dictator","human",350,310,680,1060,0,4,1,1,0,0,0,0
"3pxu89gq","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"3pxu89gq","dictator","human",980,760,170,490,1,6,0,0,1,1,0,0
"3pxu89gq","dictator","human",940,800,150,510,0,7,0,0,1,1,0,0
"3pxu89gq","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"3pxu89gq","dictator","human",640,560,410,790,1,9,1,0,0,1,0,0
"3pxu89gq","dictator","human",330,330,680,1060,0,10,1,1,0,0,0,0
"3pxu89gq","dictator","human",1050,690,270,390,1,11,0,0,1,1,0,0
"3pxu89gq","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"3pxu89gq","dictator","human",370,290,680,1060,1,13,1,1,0,0,0,0
"3pxu89gq","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"3pxu89gq","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"3pxu89gq","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"3pxu89gq","dictator","human",400,260,690,1050,0,17,1,1,0,0,0,0
"3pxu89gq","dictator","human",600,600,410,790,0,18,1,0,0,1,0,0
"3pxu89gq","dictator","human",890,850,140,520,0,19,0,0,1,1,0,0
"3pxu89gq","dictator","human",470,190,730,1010,1,20,1,1,0,0,0,0
"3pxu89gq","dictator","human",780,420,540,660,1,21,1,0,0,1,0,0
"3pxu89gq","dictator","human",390,270,1050,690,1,22,1,1,0,0,0,0
"3pxu89gq","dictator","human",720,480,750,450,1,23,0,1,1,0,0,0
"3pxu89gq","dictator","human",1060,680,330,330,1,24,0,0,1,1,0,0
"3pxu89gq","dictator","human",450,210,1020,720,1,25,1,1,0,0,0,0
"3pxu89gq","dictator","human",870,870,140,520,0,26,0,0,1,1,0,0
"3pxu89gq","dictator","human",990,750,480,180,1,27,0,0,1,1,0,0
"3pxu89gq","dictator","human",620,580,410,790,0,28,1,0,0,1,0,0
"3pxu89gq","dictator","human",910,830,140,520,0,29,0,0,1,1,0,0
"3pxu89gq","dictator","human",510,150,810,930,1,30,1,1,0,0,0,0
"46p7xebd","dictator","human",670,530,420,780,1,1,1,0,0,1,0,0
"46p7xebd","dictator","human",1010,730,190,470,1,2,0,0,1,1,0,0
"46p7xebd","dictator","human",660,540,780,420,1,3,0,1,1,0,0,0
"46p7xebd","dictator","human",350,310,680,1060,1,4,1,1,0,0,0,0
"46p7xebd","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"46p7xebd","dictator","human",980,760,170,490,1,6,0,0,1,1,0,0
"46p7xebd","dictator","human",940,800,150,510,1,7,0,0,1,1,0,0
"46p7xebd","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"46p7xebd","dictator","human",640,560,410,790,1,9,1,0,0,1,0,0
"46p7xebd","dictator","human",330,330,680,1060,0,10,1,1,0,0,0,0
"46p7xebd","dictator","human",1050,690,270,390,1,11,0,0,1,1,0,0
"46p7xebd","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"46p7xebd","dictator","human",370,290,680,1060,1,13,1,1,0,0,0,0
"46p7xebd","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"46p7xebd","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"46p7xebd","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"46p7xebd","dictator","human",400,260,690,1050,1,17,1,1,0,0,0,0
"46p7xebd","dictator","human",600,600,410,790,0,18,1,0,0,1,0,0
"46p7xebd","dictator","human",890,850,140,520,1,19,0,0,1,1,0,0
"46p7xebd","dictator","human",470,190,730,1010,1,20,1,1,0,0,0,0
"46p7xebd","dictator","human",780,420,540,660,1,21,1,0,0,1,0,0
"46p7xebd","dictator","human",390,270,1050,690,1,22,1,1,0,0,0,0
"46p7xebd","dictator","human",720,480,750,450,1,23,0,1,1,0,0,0
"46p7xebd","dictator","human",1060,680,330,330,1,24,0,0,1,1,0,0
"46p7xebd","dictator","human",450,210,1020,720,1,25,1,1,0,0,0,0
"46p7xebd","dictator","human",870,870,140,520,0,26,0,0,1,1,0,0
"46p7xebd","dictator","human",990,750,480,180,1,27,0,0,1,1,0,0
"46p7xebd","dictator","human",620,580,410,790,1,28,1,0,0,1,0,0
"46p7xebd","dictator","human",910,830,140,520,1,29,0,0,1,1,0,0
"46p7xebd","dictator","human",510,150,810,930,1,30,1,1,0,0,0,0
"5fidnx6o","dictator","human",670,530,420,780,1,1,1,0,0,1,0,0
"5fidnx6o","dictator","human",1010,730,190,470,1,2,0,0,1,1,0,0
"5fidnx6o","dictator","human",660,540,780,420,0,3,0,1,1,0,0,0
"5fidnx6o","dictator","human",350,310,680,1060,1,4,1,1,0,0,0,0
"5fidnx6o","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"5fidnx6o","dictator","human",980,760,170,490,1,6,0,0,1,1,0,0
"5fidnx6o","dictator","human",940,800,150,510,1,7,0,0,1,1,0,0
"5fidnx6o","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"5fidnx6o","dictator","human",640,560,410,790,1,9,1,0,0,1,0,0
"5fidnx6o","dictator","human",330,330,680,1060,1,10,1,1,0,0,0,0
"5fidnx6o","dictator","human",1050,690,270,390,1,11,0,0,1,1,0,0
"5fidnx6o","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"5fidnx6o","dictator","human",370,290,680,1060,1,13,1,1,0,0,0,0
"5fidnx6o","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"5fidnx6o","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"5fidnx6o","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"5fidnx6o","dictator","human",400,260,690,1050,1,17,1,1,0,0,0,0
"5fidnx6o","dictator","human",600,600,410,790,1,18,1,0,0,1,0,0
"5fidnx6o","dictator","human",890,850,140,520,1,19,0,0,1,1,0,0
"5fidnx6o","dictator","human",470,190,730,1010,1,20,1,1,0,0,0,0
"5fidnx6o","dictator","human",780,420,540,660,1,21,1,0,0,1,0,0
"5fidnx6o","dictator","human",390,270,1050,690,1,22,1,1,0,0,0,0
"5fidnx6o","dictator","human",720,480,750,450,0,23,0,1,1,0,0,0
"5fidnx6o","dictator","human",1060,680,330,330,1,24,0,0,1,1,0,0
"5fidnx6o","dictator","human",450,210,1020,720,0,25,1,1,0,0,0,0
"5fidnx6o","dictator","human",870,870,140,520,1,26,0,0,1,1,0,0
"5fidnx6o","dictator","human",990,750,480,180,1,27,0,0,1,1,0,0
"5fidnx6o","dictator","human",620,580,410,790,1,28,1,0,0,1,0,0
"5fidnx6o","dictator","human",910,830,140,520,1,29,0,0,1,1,0,0
"5fidnx6o","dictator","human",510,150,810,930,1,30,1,1,0,0,0,0
"5hvqfjhl","dictator","human",670,530,420,780,0,1,1,0,0,1,0,0
"5hvqfjhl","dictator","human",1010,730,190,470,1,2,0,0,1,1,0,0
"5hvqfjhl","dictator","human",660,540,780,420,1,3,0,1,1,0,0,0
"5hvqfjhl","dictator","human",350,310,680,1060,0,4,1,1,0,0,0,0
"5hvqfjhl","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"5hvqfjhl","dictator","human",980,760,170,490,1,6,0,0,1,1,0,0
"5hvqfjhl","dictator","human",940,800,150,510,1,7,0,0,1,1,0,0
"5hvqfjhl","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"5hvqfjhl","dictator","human",640,560,410,790,1,9,1,0,0,1,0,0
"5hvqfjhl","dictator","human",330,330,680,1060,0,10,1,1,0,0,0,0
"5hvqfjhl","dictator","human",1050,690,270,390,1,11,0,0,1,1,0,0
"5hvqfjhl","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"5hvqfjhl","dictator","human",370,290,680,1060,0,13,1,1,0,0,0,0
"5hvqfjhl","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"5hvqfjhl","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"5hvqfjhl","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"5hvqfjhl","dictator","human",400,260,690,1050,1,17,1,1,0,0,0,0
"5hvqfjhl","dictator","human",600,600,410,790,0,18,1,0,0,1,0,0
"5hvqfjhl","dictator","human",890,850,140,520,0,19,0,0,1,1,0,0
"5hvqfjhl","dictator","human",470,190,730,1010,1,20,1,1,0,0,0,0
"5hvqfjhl","dictator","human",780,420,540,660,1,21,1,0,0,1,0,0
"5hvqfjhl","dictator","human",390,270,1050,690,1,22,1,1,0,0,0,0
"5hvqfjhl","dictator","human",720,480,750,450,1,23,0,1,1,0,0,0
"5hvqfjhl","dictator","human",1060,680,330,330,1,24,0,0,1,1,0,0
"5hvqfjhl","dictator","human",450,210,1020,720,1,25,1,1,0,0,0,0
"5hvqfjhl","dictator","human",870,870,140,520,0,26,0,0,1,1,0,0
"5hvqfjhl","dictator","human",990,750,480,180,1,27,0,0,1,1,0,0
"5hvqfjhl","dictator","human",620,580,410,790,1,28,1,0,0,1,0,0
"5hvqfjhl","dictator","human",910,830,140,520,1,29,0,0,1,1,0,0
"5hvqfjhl","dictator","human",510,150,810,930,1,30,1,1,0,0,0,0
"5tkxxh2r","dictator","human",670,530,420,780,1,1,1,0,0,1,0,0
"5tkxxh2r","dictator","human",1010,730,190,470,0,2,0,0,1,1,0,0
"5tkxxh2r","dictator","human",660,540,780,420,0,3,0,1,1,0,0,0
"5tkxxh2r","dictator","human",350,310,680,1060,1,4,1,1,0,0,0,0
"5tkxxh2r","dictator","human",440,220,710,1030,1,5,1,1,0,0,0,0
"5tkxxh2r","dictator","human",980,760,170,490,0,6,0,0,1,1,0,0
"5tkxxh2r","dictator","human",940,800,150,510,0,7,0,0,1,1,0,0
"5tkxxh2r","dictator","human",520,140,870,870,1,8,1,1,0,0,0,0
"5tkxxh2r","dictator","human",640,560,410,790,1,9,1,0,0,1,0,0
"5tkxxh2r","dictator","human",330,330,680,1060,1,10,1,1,0,0,0,0
"5tkxxh2r","dictator","human",1050,690,270,390,0,11,0,0,1,1,0,0
"5tkxxh2r","dictator","human",740,460,460,740,1,12,1,0,0,1,0,0
"5tkxxh2r","dictator","human",370,290,680,1060,1,13,1,1,0,0,0,0
"5tkxxh2r","dictator","human",790,410,600,600,1,14,1,0,0,1,0,0
"5tkxxh2r","dictator","human",710,490,440,760,1,15,1,0,0,1,0,0
"5tkxxh2r","dictator","human",930,810,510,150,1,16,0,0,1,1,0,0
"5tkxxh2r","dictator","human",400,260,690,1050,1,17,1,1,0,0,0,0
"5tkxxh2r","dictator","human",600,600,410,790,0,18,1,0,0,1,0,0
